som_std,elevation,som,moisture,temp,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12
0.248940518,0.584080851,0.586947456,0.559733727,0.444124865,0.23364486,0.56462585,0.573700954,0.615085537,0.585714286,0.628593041,0.561340942,0.588474026,0.646820027,0.571428571,0.789417424,0.902695595
0.328734678,0.573771332,0.665426317,0.568319139,0.449232789,0.238317757,0.517006803,0.551431601,0.575427683,0.553174603,0.605900151,0.554921541,0.581573427,0.596752368,0.571428571,0.84019241,0.898750822
0.177852513,0.470559627,0.89794829,0.771554917,0.111487034,0.390965732,0.723809524,0.718981972,0.732503888,0.704761905,0.746596067,0.59700428,0.651803636,0.654262517,0.571428571,0.812399786,0.783037475
0.241963758,0.438305019,0.610786767,0.525786303,0.374147427,0.288161994,0.582312925,0.565217391,0.618195956,0.591269841,0.593797277,0.52853067,0.572863636,0.596752368,0.428571429,0.817744522,0.873109796
0.556042288,0.388624975,0.419226167,0.693664637,0.454646514,0.342679128,0.719727891,0.800636267,0.866251944,0.921428571,0.897125567,0.810271041,0.794695652,0.848443843,1,0.863709246,0.856015779
0.10999672,0.64301072,0.713397528,0.630373717,0.213086108,0.327102804,0.699319728,0.678685048,0.660186625,0.615079365,0.626323752,0.553495007,0.589099174,0.579837618,0.428571429,0.812399786,0.847468771
0.155070114,0.908061292,0.683410418,0.621228034,0.445112024,0.378504673,0.704761905,0.665959703,0.647744946,0.630952381,0.657337368,0.547788873,0.572909091,0.600811908,0.428571429,0.839123463,0.913872452
0.161758752,0.664920356,0.750284328,0.771960945,0.177872388,0.445482866,0.840816327,0.777306469,0.759720062,0.803174603,0.748108926,0.652639087,0.642380165,0.663058187,0.571428571,0.817210048,0.825772518
0.18147956,0.612750591,0.745772993,0.694916106,0.248233511,0.299065421,0.707482993,0.677624602,0.65940902,0.665079365,0.632375189,0.557774608,0.594528926,0.623815968,0.428571429,0.822554784,0.8921762
0.278017296,0.50149143,0.768329669,0.585630223,0.16139953,0.333333333,0.62585034,0.651113468,0.65474339,0.596825397,0.60892587,0.536376605,0.597677686,0.587956698,0.571428571,0.812399786,0.80539119
0.108725305,0.605770756,0.712260217,0.539639547,0.537963064,0.359813084,0.654421769,0.640509014,0.67962675,0.63968254,0.645990923,0.539942939,0.589948052,0.589309878,0.571428571,0.840726884,0.804733728
0.133232815,0.771223946,0.700861829,0.625828154,0.401558296,0.403426791,0.650340136,0.640509014,0.65318818,0.618253968,0.60892587,0.516405136,0.563428571,0.564276049,0.428571429,0.790486371,0.798816568
0.167851108,0.406966784,0.828746177,0.246223458,0.411326306,0.210280374,0.527891156,0.51961824,0.546656299,0.498412698,0.488653555,0.441512126,0.463246753,0.444519621,0.428571429,0.69374666,0.692965155
0.169693606,0.45405444,0.584931888,0.40885102,0.350661824,0.308411215,0.568707483,0.590668081,0.604976672,0.569047619,0.600605144,0.504279601,0.568753247,0.577131258,0.428571429,0.799037948,0.808678501
0.174318159,0.853216903,0.628857381,0.624985852,0.397570503,0.459501558,0.741496599,0.707317073,0.689735614,0.675396825,0.692889561,0.588445078,0.603688312,0.639377537,0.571428571,0.825761625,0.856015779
0.179230593,0.825640049,0.703085905,0.606455196,0.492902388,0.35046729,0.710204082,0.695652174,0.631415241,0.554761905,0.604387292,0.52853067,0.64574026,0.560893099,0.571428571,0.724211652,0.744904668
0.187480063,0.747826846,0.753405616,0.507126669,0.352148563,0.221183801,0.621768707,0.605514316,0.609642302,0.585714286,0.615733737,0.54850214,0.578051948,0.569012179,0.285714286,0.78727953,0.879684418
0.229069542,0.517266267,0.776202391,0.646043415,0.329486224,0.292834891,0.710204082,0.683987275,0.65474339,0.65952381,0.644478064,0.529243937,0.604961039,0.622462788,0.142857143,0.861571352,0.937541091
0.286287567,0.511301989,0.718098415,0.618310604,0.287760288,0.369158879,0.768707483,0.711558855,0.700622084,0.66984127,0.684568835,0.592011412,0.636207792,0.628552097,0.571428571,0.851416355,0.888888889
0.294015893,0.705950002,0.749791493,0.607613362,0.142504564,0.364485981,0.616326531,0.593849417,0.598755832,0.561111111,0.563540091,0.466476462,0.538883117,0.527063599,0.428571429,0.765366114,0.777777778
